cycle,type,temperature,Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load,Time,Capacity
3,2,24,4.188108651124536,0.0001306673415663668,23.8195202516044,0.0005999999999999999,0,0,1.855004520791082
3,2,24,4.188195942647034,0.001459080605681204,23.82880715958107,0.0005999999999999999,4.203,9.421999999999997,1.855004520791082
3,2,24,3.977432055654197,-2.005671955333404,23.84494448928014,1.9988,3.029,19.578,1.855004520791082
3,2,24,3.961974217766504,-2.012205794994686,23.92557733003226,1.9988,3.026,29.016,1.855004520791082
3,2,24,3.949835235457605,-2.012004640672139,24.01062793450516,1.9988,3.015,38.485,1.855004520791082
3,2,24,3.939550064879283,-2.007285098333412,24.1031919642026,1.9988,3.005,47.906,1.855004520791082
3,2,24,3.930453666897322,-2.009340457838071,24.19162073012334,1.9988,2.997,57.328,1.855004520791082
3,2,24,3.922180352977148,-2.010267259036747,24.29434352690044,1.999,2.987,66.75,1.855004520791082
3,2,24,3.91464889974803,-2.010024054971675,24.38261558043643,1.9988,2.979,76.15600000000001,1.855004520791082
3,2,24,3.907584709153282,-2.00867077329473,24.47631464298037,1.9988,2.974,85.59399999999999,1.855004520791082
3,2,24,3.90126780288413,-2.01062371858544,24.57457823698312,1.999,2.965,95.03100000000001,1.855004520791082
3,2,24,3.895214648478672,-2.009617297008268,24.66737222996142,1.9988,2.96,104.391,1.855004520791082
3,2,24,3.889690143270334,-2.007814321761306,24.76058265033414,1.9988,2.956,113.766,1.855004520791082
3,2,24,3.884241777958718,-2.011540424361886,24.85949785712736,1.9988,2.953,123.125,1.855004520791082
3,2,24,3.879127142662222,-2.008096144812146,24.96219947956856,1.9988,2.949,132.531,1.855004520791082
3,2,24,3.874532799864547,-2.011376288742226,25.0478665044854,1.9988,2.945,141.938,1.855004520791082
3,2,24,3.86996557609363,-2.009756653284586,25.15063116224023,1.999,2.943,151.328,1.855004520791082
3,2,24,3.865586181358366,-2.012294813535249,25.24596025060208,1.9988,2.939,160.735,1.855004520791082
3,2,24,3.8613232967475,-2.007549148384706,25.33460639623395,1.999,2.937,170.125,1.855004520791082
3,2,24,3.857541912231681,-2.008059469490119,25.41616897550333,1.9988,2.933,179.531,1.855004520791082
3,2,24,3.853373028594797,-2.009811168663866,25.5181196398574,1.9988,2.93,188.938,1.855004520791082
3,2,24,3.849750867583652,-2.010164078600632,25.60406454572696,1.9988,2.927,198.344,1.855004520791082
3,2,24,3.845967646114043,-2.008694840924691,25.7059174278579,1.9988,2.924,207.719,1.855004520791082
3,2,24,3.842361487694259,-2.007646920606546,25.78674132046683,1.999,2.922,217.172,1.855004520791082
3,2,24,3.839135360002819,-2.011691481468836,25.87705688266997,1.9988,2.919,226.578,1.855004520791082
3,2,24,3.835813025746779,-2.007390676603688,25.96647181277578,1.9988,2.916,235.938,1.855004520791082
3,2,24,3.832241611056925,-2.011685450159255,26.05068363908009,1.9988,2.913,245.36,1.855004520791082
3,2,24,3.829291624945619,-2.008501269129733,26.13429632209688,1.9988,2.91,254.828,1.855004520791082
3,2,24,3.826212051453392,-2.007782686511428,26.22091750411543,1.9988,2.907,264.188,1.855004520791082
3,2,24,3.823183538335519,-2.006959394552626,26.29741165868177,1.9988,2.905,273.594,1.855004520791082
3,2,24,3.820277221071671,-2.007970323828919,26.38966022473869,1.9988,2.902,283,1.855004520791082
3,2,24,3.817240045181895,-2.008993992102885,26.46686876077716,1.9988,2.9,292.406,1.855004520791082
3,2,24,3.814633647835574,-2.006583139220951,26.55704766331236,1.9988,2.897,301.86,1.855004520791082
3,2,24,3.811729657117534,-2.009970280957846,26.63549867629237,1.9988,2.895,311.219,1.855004520791082
3,2,24,3.809130725033005,-2.011557313949179,26.71211053374214,1.9988,2.892,320.563,1.855004520791082
3,2,24,3.806442978133214,-2.008789915733318,26.79618176270998,1.999,2.89,329.953,1.855004520791082
3,2,24,3.803726990390863,-2.008357811322733,26.87644361087177,1.999,2.887,339.328,1.855004520791082
3,2,24,3.800884192317118,-2.010552308899397,26.95898341436952,1.999,2.885,348.688,1.855004520791082
3,2,24,3.798668838816533,-2.006846692686625,27.03441104520881,1.9988,2.883,358.063,1.855004520791082
3,2,24,3.796115902558047,-2.007063940264315,27.10905848902063,1.9988,2.881,367.422,1.855004520791082
3,2,24,3.793544933955797,-2.00757954309097,27.18657521994606,1.9988,2.879,376.828,1.855004520791082
3,2,24,3.791214855489673,-2.010957277895548,27.27240865188458,1.9988,2.876,386.235,1.855004520791082
3,2,24,3.788686160861451,-2.011269937112233,27.33868609356077,1.9988,2.874,395.625,1.855004520791082
3,2,24,3.786469594509601,-2.009309622149581,27.4304802101322,1.999,2.872,405.047,1.855004520791082
3,2,24,3.784127501271701,-2.005830238356879,27.50629339921341,1.9988,2.87,414.469,1.855004520791082
3,2,24,3.781509452220521,-2.010893459823323,27.57681609300404,1.9988,2.868,423.86,1.855004520791082
3,2,24,3.779149091593434,-2.008705069472876,27.65153057779851,1.9988,2.865,433.266,1.855004520791082
3,2,24,3.776945903100336,-2.006782695550041,27.7227291133262,1.9988,2.863,442.625,1.855004520791082
3,2,24,3.774414341199159,-2.011238568485668,27.79898781044542,1.999,2.861,452.125,1.855004520791082
3,2,24,3.772024659078597,-2.010285745359929,27.86206100577323,1.9988,2.859,461.5,1.855004520791082
3,2,24,3.769604524478146,-2.012800827000836,27.9388905821088,1.9988,2.857,470.86,1.855004520791082
3,2,24,3.767357887404263,-2.011042370747416,28.01432572666493,1.9988,2.855,480.219,1.855004520791082
3,2,24,3.765113440248581,-2.008538547883814,28.07446135219939,1.9988,2.853,489.641,1.855004520791082
3,2,24,3.762686463721417,-2.008875357335673,28.13297985186621,1.999,2.851,499,1.855004520791082
3,2,24,3.760322378655566,-2.008295438687457,28.20730451196526,1.9988,2.848,508.391,1.855004520791082
3,2,24,3.758001319840107,-2.008843765575543,28.26984758606404,1.9988,2.846,517.735,1.855004520791082
3,2,24,3.75580073525919,-2.008770008934389,28.32789109337245,1.9988,2.843,527.078,1.855004520791082
3,2,24,3.753272934306894,-2.007616645555789,28.38849917552071,1.9988,2.842,536.422,1.855004520791082
3,2,24,3.751067594989784,-2.008296867696627,28.45673723373065,1.9988,2.839,545.813,1.855004520791082
3,2,24,3.748847472068759,-2.009536160677516,28.51536111033435,1.9988,2.837,555.188,1.855004520791082
3,2,24,3.746398749275051,-2.008322899136767,28.57302453569088,1.9988,2.835,564.547,1.855004520791082
3,2,24,3.74425119913783,-2.008192794794528,28.63702103399147,1.9988,2.833,573.938,1.855004520791082
3,2,24,3.741884290813785,-2.009257903362272,28.68976212586805,1.9988,2.831,583.313,1.855004520791082
