cycle,type,temperature,Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_impedance,Re,Rct
2,3,24,832.7495727539062+27.37719345092773i,327.5276184082031+90.78420257568359i,2.382645118434396-0.5768348469823338i,0.1654095349821111-0.1290543436750961i,0.09531481967353798-0.001691894303369183i,0.09555369570022001,0.06515815158455215
2,3,24,826.0628662109375+41.28160095214844i,331.8142700195312+78.22703552246094i,2.386236081290755-0.4381564835514871i,0.1846927524104616-0.1034142951073305i,0.09460290440016651-0.001341065028286877i,0.09555369570022001,0.06515815158455215
2,3,24,825.5372924804688+48.6207275390625i,331.9594421386719+69.78458404541016i,2.411099396225583-0.3603959572528219i,0.1969783356172193-0.08031004077147227i,0.09536155835849297-0.001273769200110304i,0.09555369570022001,0.06515815158455215
2,3,24,823.8683471679688+55.49310302734375i,334.4280395507812+64.80252838134766i,2.405353382207803-0.3001538923745233i,0.2042990110785732-0.06064456729078514i,0.09383006200626304-0.0008587308238080903i,0.09555369570022001,0.06515815158455215
2,3,24,823.2815551757812+53.55828094482422i,336.043701171875+57.23657608032227i,2.407235078020094-0.2506329160397381i,0.2082669861728397-0.04460083961940278i,0.0952651805443773-0.001045516865232i,0.09555369570022001,0.06515815158455215
2,3,24,823.1001586914062+57.51571655273438i,335.8325805664062+52.72489166259766i,2.418207428391144-0.2083895731880582i,0.2100667163160926-0.03196108142490284i,0.09306460130687549+0.0001171585278523403i,0.09555369570022001,0.06515815158455215
2,3,24,821.2781982421875+62.85707092285156i,338.4596252441406+48.68899536132812i,2.403495147346439-0.1600388617052975i,0.2105211212501232-0.02231430188407664i,0.0937281100854624-0.001972569926002088i,0.09555369570022001,0.06515815158455215
2,3,24,821.6283569335938+63.49446868896484i,337.4461975097656+46.82334136962891i,2.414463951518237-0.1468643046013357i,0.210176636467824-0.01518064592953199i,0.09305365210769161-0.000910768380327927i,0.09555369570022001,0.06515815158455215
2,3,24,818.8565673828125+67.68135070800781i,341.1257629394531+42.6021614074707i,2.387987063676321-0.09982259716844313i,0.2093818259678499-0.01008053862581409i,0.09509969532026863-0.001507065469596343i,0.09555369570022001,0.06515815158455215
2,3,24,818.4591064453125+66.28695678710938i,340.3171081542969+45.85287857055664i,2.387884439348403-0.1269534132009201i,0.2083505292030072-0.006569928573061113i,0.09349259728453319-0.001433641818257908i,0.09555369570022001,0.06515815158455215
2,3,24,819.05712890625+59.49216461181641i,341.6448974609375+37.90214157104492i,2.38732905875194-0.09071617805505978i,0.2072084684417625-0.004255951462210675i,0.09320239606559036-0.0008325657065434173i,0.09555369570022001,0.06515815158455215
2,3,24,820.4246826171875+59.42210388183594i,340.6214294433594+37.69456100463867i,2.398543191025259-0.09098056104447064i,0.2060255589487218-0.002801897134900686i,0.09099636456284918-0.0017709534179142i,0.09555369570022001,0.06515815158455215
2,3,24,818.876953125+59.28957366943359i,342.6640625+36.8858757019043i,2.380775301460575-0.08325182386000841i,0.2048371344779923-0.001926672549333069i,0.09267813127755091-0.002563930913503373i,0.09555369570022001,0.06515815158455215
2,3,24,817.4257202148438+61.09555053710938i,343.8289489746094+35.84908294677734i,2.370180277807882-0.06943347531392459i,0.2036572058206119-0.001401652424099374i,0.09106729002981506-0.001169670559675731i,0.09555369570022001,0.06515815158455215
2,3,24,814.841796875+60.57095336914062i,345.8510437011719+37.36581802368164i,2.347567700228943-0.07849574147691053i,0.2024863688502611-0.001046458779597194i,0.0908452715441441-0.001423972076979123i,0.09555369570022001,0.06515815158455215
2,3,24,817.3775634765625+37.2448844909668i,345.1498718261719+29.25292587280273i,2.360372110390106-0.09214230826231586i,0.2013163829804189-0.0007244501289013274i,0.08927589892440974-0.002723184115192759i,0.09555369570022001,0.06515815158455215
2,3,24,815.313232421875+41.77429962158203i,348.3915710449219+26.2363166809082i,2.336002859699386-0.05601114606323844i,0.2001328850130556-0.0003382822004545098i,0.09021716658583903-0.001920039470429928i,0.09555369570022001,0.06515815158455215
2,3,24,814.5076293945312+40.17372894287109i,348.4268798828125+26.1932373046875i,2.33315384920566-0.06009617715131614i,0.1989172342919573+0.000174328612308155i,0.08899901405263254-0.002215369768243645i,0.09555369570022001,0.06515815158455215
2,3,24,812.7189331054688+39.27476119995117i,349.6998596191406+30.27459335327148i,2.316408834369392-0.08822872944275846i,0.1976481109735474+0.0008446362622186958i,0.08767615220206119-0.002163971715470435i,0.09555369570022001,0.06515815158455215
2,3,24,813.1388549804688+40.96382904052734i,350.8770141601562+26.98152160644531i,2.312748693187936-0.06109733305361519i,0.1963032025338357+0.001676757124380449i,0.08504629788728474-0.002451618104511759i,0.09555369570022001,0.06515815158455215
2,3,24,811.0642700195312+42.06406402587891i,350.6673889160156+27.70083618164062i,2.307989702059171-0.06236445506774336i,0.1948611024172639+0.002651519738091027i,0.08276204029337832-0.002743055350052858i,0.09555369570022001,0.06515815158455215
2,3,24,810.6012573242188-0.3715591430664062i,353.9984741210938+11.19927883148193i,2.287521214883784-0.07341881098783958i,0.1933033977622473+0.003730367753575427i,0.08329420899644747-0.002758572152883484i,0.09555369570022001,0.06515815158455215
2,3,24,807.417236328125-0.7503566741943359i,357.1911315917969+11.14154243469238i,2.258200083153342-0.07253872348735607i,0.1916168315264022+0.004859384350959266i,0.08132694105509485-0.0028640892689038i,0.09555369570022001,0.06515815158455215
2,3,24,806.0610961914062-0.3835067749023438i,360.1919555664062+11.44420623779297i,2.235574722294811-0.07209457222887192i,0.1897953812942605+0.005973458327107107i,0.08091943605877815-0.00268672723839495i,0.09555369570022001,0.06515815158455215
2,3,24,805.568603515625-0.6715641021728516i,359.2802429199219+10.94479751586914i,2.240037698814097-0.07010773244556257i,0.1878420965888589+0.007000550661164838i,0.07983315722034849-0.003427383177020661i,0.09555369570022001,0.06515815158455215
2,3,24,804.8192749023438-0.7145442962646484i,362.4896240234375+10.82149696350098i,2.218218892572395-0.06819227825682277i,0.1857705718031318+0.007865955037733539i,0.0770204791586086-0.00256694273225283i,0.09555369570022001,0.06515815158455215
2,3,24,799.5785522460938+1.379562377929688i,360.9197692871094+10.05982112884521i,2.213778076760989-0.05788169801423777i,0.183605993936359+0.008496386547999753i,0.0799615174295797-0.001021270462681954i,0.09555369570022001,0.06515815158455215
2,3,24,801.1492309570312+9.109134674072266i,363.6063842773438+16.98736953735352i,2.199711195018222-0.07771638093571433i,0.1813857814717968+0.008823688682231096i,0.0756516308917453-0.002580319876562276i,0.09555369570022001,0.06515815158455215
2,3,24,798.5521240234375+11.93462562561035i,366.2646789550781+13.02803230285645i,2.178662254468943-0.04491029997638005i,0.1791599090388327+0.008787926560225373i,0.07838564145931574-0.001703530418069629i,0.09555369570022001,0.06515815158455215
2,3,24,804.6117553710938+17.2334156036377i,362.9878845214844+8.526827812194824i,2.216527442717458-0.004591151144384706i,0.1769910773222897+0.008339638033202463i,0.07187256020631359-0.002612381631340641i,0.09555369570022001,0.06515815158455215
2,3,24,798.0050659179688+15.19571685791016i,366.9924621582031+11.29844665527344i,2.173659911871868-0.02551350414124907i,0.1749549259593391+0.007441045338711083i,0.07146537461241083-0.00240805011831426i,0.09555369570022001,0.06515815158455215
2,3,24,802.8729248046875+18.73793029785156i,361.4921569824219+4.688874244689941i,2.221295428482886+0.02302278268735814i,0.1731404901585354+0.006066088971083483i,0.06894671792614923-0.002017422135285653i,0.09555369570022001,0.06515815158455215
2,3,24,796.409423828125+34.0101318359375i,368.0252380371094+20.66745758056641i,2.162377839046033-0.02902170645325761i,0.171651067746577+0.00419923401853524i,0.06790323248365165-0.003422618088810204i,0.09555369570022001,0.06515815158455215
2,3,24,797.4878540039062+37.43787384033203i,365.83056640625+17.2207145690918i,2.179924605750255-0.0002787781743743951i,0.1706055997856403+0.001833122050553892i,0.06640714984803282-0.001490340514589253i,0.09555369570022001,0.06515815158455215
2,3,24,796.2982177734375+41.06961822509766i,367.9244079589844+13.38643264770508i,2.165493143699352+0.03283660949519273i,0.17014059280473-0.00103469287100115i,0.06626462111238487-0.001325287805569325i,0.09555369570022001,0.06515815158455215
2,3,24,795.885009765625+41.04293060302734i,367.80615234375+14.20598697662354i,2.164951159619184+0.02797033861150965i,0.1704125522420776-0.004405466027659918i,0.06575787834934371-0.000576159726833135i,0.09555369570022001,0.06515815158455215
2,3,24,795.8868408203125+55.30548858642578i,368.721435546875-1.573952198028564i,2.157824810730728+0.1592036589984835i,0.1716008903934141-0.008282698686006399i,0.06664488214747642-0.0007651478040350428i,0.09555369570022001,0.06515815158455215
2,3,24,799.9124755859375+70.00422668457031i,364.6387634277344-15.02263450622559i,2.18209895715554+0.2818819941361072i,0.1739113539584309-0.01267418741759663i,0.06533405991260227-0.0006006240770213645i,0.09555369570022001,0.06515815158455215
2,3,24,807.7990112304688+87.19687652587891i,355.4458618164062-34.11507034301758i,2.228561655539824+0.4592103375019172i,0.1775802102015974-0.01759114715172034i,0.06445717761653071-0.0004862059320579396i,0.09555369570022001,0.06515815158455215
2,3,24,828.1431274414062+102.6314544677734i,336.4984436035156-50.72194671630859i,2.361433101887077+0.6609478963827619i,0.182879729469149-0.02304235248853974i,99999+0i,0.09555369570022001,0.06515815158455215
2,3,24,847.829833984375+115.4806442260742i,316.8422546386719-65.86192321777344i,2.492413792317394+0.8825710774009599i,0.1901258392314008-0.0290206335450657i,99999+0i,0.09555369570022001,0.06515815158455215
2,3,24,869.3401489257812+120.2620468139648i,291.7185974121094-78.00830078125i,2.678304074995884+1.128457354451226i,0.199689039965497-0.0354783189083239i,99999+0i,0.09555369570022001,0.06515815158455215
